Horizon,NBERI_beta,DK_SE,p_value,CI95_low,CI95_high,N
0,0.181470884124898,0.03618940512330081,5.317833723251849e-07,0.11053965008322843,0.2524021181665676,1837
1,0.1211445269338899,0.03181080128180299,0.00013993519147837764,0.05879535642155604,0.18349369744622376,1824
2,0.12949962408945037,0.033281922624075096,9.983609762629208e-05,0.06426705574626318,0.19473219243263756,1809
3,0.06673679195053037,0.0300467871346615,0.026344475164013337,0.007845089166593829,0.1256284947344669,1794
4,0.07601624293861714,0.03156764118395955,0.0160382841396787,0.014143666218056426,0.13788881965917785,1779
5,0.05927380654615841,0.029885771951866848,0.04732886811310802,0.0006976935204993859,0.11784991957181742,1764
6,0.06646495669206905,0.03566477798353996,0.0623775964472161,-0.0034380081556692754,0.13636792153980737,1750
7,0.06057775200923782,0.039076608012470364,0.12108618680594281,-0.0160123996952041,0.13716790371367973,1736
8,0.038033684453412785,0.04187230203465383,0.363706213600702,-0.044036027534508713,0.12010339644133428,1722
9,0.05552380190857651,0.03316124761102829,0.09406025197315081,-0.00947224340903894,0.12051984722619197,1708
10,0.07884152020576583,0.02653722273324185,0.0029685248844130404,0.02682856364861181,0.13085447676291986,1694
11,0.08012314211281002,0.03158205203291484,0.011181225215844985,0.018222320128296943,0.1420239640973231,1680
12,0.07617482983269899,0.04136799218545516,0.06556363884891224,-0.004906434850793118,0.1572560945161911,1666
