Country,Usable_Pairs,Correlation_FXRisk_vs_ExchangeRate_Level_2015_2025,Reason_if_not_estimable,eligible
Zambia,132,0.7180430845847727,,True
Ghana,132,0.6680505538259984,,True
Malawi,117,0.6490955035331522,,True
Tanzania,124,0.5605227508924402,,True
Algeria,132,0.5488360166958196,,True
Burundi,126,0.4798550989565759,,True
Libya,131,0.41476401240939054,,True
Nigeria,132,0.32211794313091013,,True
Tunisia,130,0.29615177596169784,,True
Morocco,132,0.28523552141200464,,True
Liberia,128,0.2789535120673334,,True
Namibia,132,0.2684882403507567,,True
Congo DRC,129,0.2661683212538426,,True
Guinea,77,0.2627060052208771,,True
Benin,132,0.2472970106875652,,True
Uganda,132,0.19396999268463075,,True
Mauritius,132,0.1934246414565021,,True
Central African Republic,132,0.1881316704682737,,True
Cape Verde,132,0.18118238290302666,,True
Lesotho,132,0.14352640287087104,,True
Senegal,132,0.1355481171667518,,True
Cameroon,132,0.12463402150301467,,True
Chad,132,0.12122744231411213,,True
South Sudan,125,0.11675298612172792,,True
Eswatini,132,0.11343807764166167,,True
Seychelles,132,0.10506945861573982,,True
Kenya,132,0.09645121960499595,,True
Ivory Coast,132,0.08663982123684749,,True
Niger,132,0.0751275785049878,,True
Mali,132,0.06552046408735757,,True
Burkina-Faso,132,0.06063666526502322,,True
Gabon,132,0.04873580218471619,,True
Gambia,132,0.045915258191412095,,True
Mozambique,128,0.04205553437010128,,True
South Africa,132,0.04054597439012349,,True
Botswana,132,0.036909771168748676,,True
Mauritania,116,0.033122103425825646,,True
Madagascar,132,0.024866745787624708,,True
Sao Tome and Principe,129,0.009495094306068761,,True
Equatorial Guinea,132,-0.004545088932556901,,True
Eritrea,132,-0.023894870030127975,,False
Comoros,132,-0.03127100064389754,,True
Rwanda,132,-0.046444210405791275,,True
Ethiopia,129,-0.07227247094022661,,True
Congo,132,-0.09534381810404585,,True
Somalia,42,-0.11997779380960508,,False
Zimbabwe,83,-0.12637587775678522,,True
Sudan,98,-0.15056498681398428,,True
Togo,132,-0.1776655672068699,,True
Guinea-Bissau,131,-0.35517046984712286,,True
Egypt,132,-0.4671509399967504,,True
Angola,132,-0.5726701727554937,,True
Sierra Leone,109,-0.6790651441697504,,True
Djibouti,132,,Exchange-rate level constant over usable sample,False
