Country,Family,delta,loglik
Zambia,GARCH,-0.75,-374.0899605191187
Zambia,GARCH,-0.5,-370.52505876314297
Zambia,GARCH,-0.3,-368.5680819586987
Zambia,GARCH,-0.15,-367.6462693829981
Zambia,GARCH,0.0,-367.43646911415044
Zambia,GARCH,0.15,-368.011121714145
Zambia,GARCH,0.3,-368.9761812145954
Zambia,GARCH,0.5,-371.18308408670515
Zambia,GARCH,0.75,-375.444799907875
Zambia,GARCH,1.0,-381.3328815608216
Zambia,EGARCH,-1.0,-462.88609835455276
Zambia,EGARCH,-0.75,-425.87771733458106
Zambia,EGARCH,-0.5,-397.16503277856157
Zambia,EGARCH,-0.3,-382.04811481354784
Zambia,EGARCH,-0.15,-376.07757293131084
Zambia,EGARCH,0.0,-375.1377885275388
Zambia,EGARCH,0.15,-379.636275449217
Zambia,EGARCH,0.3,-390.04861902492325
Zambia,EGARCH,0.5,-413.6492212460375
Zambia,EGARCH,0.75,-453.5323084949829
Zambia,EGARCH,1.0,-376.03639979402396
Zambia,GJR/TGARCH,-0.75,-676.3684487001079
Zambia,GJR/TGARCH,-0.5,-479.2311714955127
Zambia,GJR/TGARCH,-0.3,-400.6783985151036
Zambia,GJR/TGARCH,-0.15,-380.98453315409967
Zambia,GJR/TGARCH,0.0,-377.53886292797375
Zambia,GJR/TGARCH,0.15,-381.5465258804838
Zambia,GJR/TGARCH,0.3,-367.52820604516364
Zambia,GJR/TGARCH,0.5,-370.09046451280756
Zambia,GJR/TGARCH,0.75,-374.88558181673613
Zambia,GJR/TGARCH,1.0,-381.47132887612446
Ghana,GARCH,-1.0,-349.73185479543935
Ghana,GARCH,-0.75,-334.31979793463387
Ghana,GARCH,-0.5,-322.1263686900474
Ghana,GARCH,-0.3,-313.945290253672
Ghana,GARCH,-0.15,-309.167033842885
Ghana,GARCH,0.0,-305.4557475717656
Ghana,GARCH,0.15,-302.7376120946332
Ghana,GARCH,0.3,-300.95379539435726
Ghana,GARCH,0.5,-299.98489185206654
Ghana,GARCH,0.75,-298.7677102740071
Ghana,GARCH,1.0,-296.84990784069345
Ghana,EGARCH,-1.0,-325.01377835032366
Ghana,EGARCH,-0.75,-313.18024168232483
Ghana,EGARCH,-0.5,-302.2822988150886
Ghana,EGARCH,-0.3,-294.5607415196111
Ghana,EGARCH,-0.15,-289.71460514789794
Ghana,EGARCH,0.0,-285.75212745755465
Ghana,EGARCH,0.15,-283.19587292800617
Ghana,EGARCH,0.3,-282.0314889172586
Ghana,EGARCH,0.5,-279.64156985900513
Ghana,EGARCH,0.75,-279.78082851850434
Ghana,EGARCH,1.0,-279.43679887300596
Ghana,GJR/TGARCH,-1.0,-670.1903362929946
Ghana,GJR/TGARCH,-0.75,-318.6656581206133
Ghana,GJR/TGARCH,-0.5,-307.87160960793796
Ghana,GJR/TGARCH,-0.3,-301.14073848668363
Ghana,GJR/TGARCH,-0.15,-297.2211647604279
Ghana,GJR/TGARCH,0.0,-294.25572709532855
Ghana,GJR/TGARCH,0.15,-292.22370192008907
Ghana,GJR/TGARCH,0.3,-291.10670599930336
Ghana,GJR/TGARCH,0.5,-291.0829253550549
Ghana,GJR/TGARCH,0.75,-287.77104097037727
Ghana,GJR/TGARCH,1.0,-288.65119440415475
Malawi,GARCH,-1.0,-150.393577058854
Malawi,GARCH,-0.75,-142.18543772193502
Malawi,GARCH,-0.5,-136.31505541796676
Malawi,GARCH,-0.3,-133.4635419019822
Malawi,GARCH,-0.15,-132.35173759802754
Malawi,GARCH,0.0,-132.03968013214055
Malawi,GARCH,0.15,-131.961571575964
Malawi,GARCH,0.3,-131.72613832299626
Malawi,GARCH,0.5,-130.64504139523214
Malawi,GARCH,0.75,-131.90814531183753
Malawi,GARCH,1.0,-132.76640885716915
Malawi,EGARCH,-1.0,-353.2916290991835
Malawi,EGARCH,-0.75,-318.9738384652324
Malawi,EGARCH,-0.5,-289.17372493904264
Malawi,EGARCH,-0.3,-269.0534029225297
Malawi,EGARCH,-0.15,-256.7460144607287
Malawi,EGARCH,0.0,-247.35100401883176
Malawi,EGARCH,0.15,-241.23717969378995
Malawi,EGARCH,0.3,-238.11771890537415
Malawi,EGARCH,0.5,-240.934679570193
Malawi,EGARCH,0.75,-227.24665147262635
Malawi,EGARCH,1.0,-128.90589602614358
Malawi,GJR/TGARCH,-1.0,-478.13305539951807
Malawi,GJR/TGARCH,-0.75,-320.0674563401002
Malawi,GJR/TGARCH,-0.5,-144.59333370023884
Malawi,GJR/TGARCH,-0.3,-132.19710508107008
Malawi,GJR/TGARCH,-0.15,-131.3745254008996
Malawi,GJR/TGARCH,0.0,-131.69734076474168
Malawi,GJR/TGARCH,0.15,-133.09005350025274
Malawi,GJR/TGARCH,0.3,-135.60441466050963
Malawi,GJR/TGARCH,0.5,-140.62039562505635
Malawi,GJR/TGARCH,0.75,-149.19361884901633
Malawi,GJR/TGARCH,1.0,-161.15420915299828
Tanzania,GARCH,-1.0,-24.2177735565426
Tanzania,GARCH,-0.75,-13.246874685206414
Tanzania,GARCH,-0.5,-4.863577026027213
Tanzania,GARCH,-0.3,1.8693837352239986
Tanzania,GARCH,-0.15,6.270973677231085
Tanzania,GARCH,0.0,8.680672958893116
Tanzania,GARCH,0.15,9.191124545956772
Tanzania,GARCH,0.3,7.569600017475587
Tanzania,GARCH,0.5,0.7966345841743832
Tanzania,GARCH,0.75,-4.452902586264249
Tanzania,GARCH,1.0,-12.425133646025968
Tanzania,EGARCH,-1.0,-60.21066667146259
Tanzania,EGARCH,-0.75,-21.339214790727652
Tanzania,EGARCH,-0.5,-5.558939501878494
Tanzania,EGARCH,-0.3,-1.8737735273108318
Tanzania,EGARCH,-0.15,-0.5884232959639131
Tanzania,EGARCH,0.0,9.963775808298202
Tanzania,EGARCH,0.15,12.597921011956382
Tanzania,EGARCH,0.3,14.169945974901825
Tanzania,EGARCH,0.5,11.652253337835898
Tanzania,EGARCH,0.75,7.009597915703757
Tanzania,EGARCH,1.0,-1.9807800228859762
Tanzania,GJR/TGARCH,-1.0,-52.2318817287886
Tanzania,GJR/TGARCH,-0.75,-39.95047297409721
Tanzania,GJR/TGARCH,-0.5,-28.39633599953113
Tanzania,GJR/TGARCH,-0.3,-20.65142840919514
Tanzania,GJR/TGARCH,-0.15,-16.70976431823835
Tanzania,GJR/TGARCH,0.0,-14.303028162366228
Tanzania,GJR/TGARCH,0.15,-12.366438019768793
Tanzania,GJR/TGARCH,0.3,-12.9912683023554
Tanzania,GJR/TGARCH,0.5,-18.416579114929302
Tanzania,GJR/TGARCH,0.75,-25.97776826745544
Tanzania,GJR/TGARCH,1.0,-37.456693973117844
Algeria,GARCH,-1.0,-163.86921626866254
Algeria,GARCH,-0.75,-158.25795724385426
Algeria,GARCH,-0.5,-153.78064278277003
Algeria,GARCH,-0.3,-151.12317172825146
Algeria,GARCH,-0.15,-149.72163010698623
Algeria,GARCH,0.0,-148.85576863492258
Algeria,GARCH,0.15,-148.5392981156463
Algeria,GARCH,0.3,-148.773169011599
Algeria,GARCH,0.5,-149.92079329167888
Algeria,GARCH,0.75,-152.62301175488864
Algeria,GARCH,1.0,-156.60568799138537
Algeria,EGARCH,-0.5,-713.8830056033979
Algeria,EGARCH,-0.15,-157.49886230553065
Algeria,EGARCH,0.0,-154.64124625073424
Algeria,EGARCH,0.15,-178.4975480306922
Algeria,EGARCH,0.3,-266.2348397066903
Algeria,EGARCH,0.5,-640.3718628085194
Algeria,EGARCH,0.75,-804.9109558563645
Algeria,GJR/TGARCH,-1.0,-191.12277984306127
Algeria,GJR/TGARCH,-0.75,-181.36604842773937
Algeria,GJR/TGARCH,-0.5,-166.27952191626642
Algeria,GJR/TGARCH,-0.3,-163.3119510854048
Algeria,GJR/TGARCH,-0.15,-161.7370008342432
Algeria,GJR/TGARCH,0.0,-156.619270105381
Algeria,GJR/TGARCH,0.15,-172.17106129215222
Algeria,GJR/TGARCH,0.3,-262.22481965823573
Algeria,GJR/TGARCH,0.5,-270.75439767697577
Algeria,GJR/TGARCH,0.75,-263.07707765016914
Algeria,GJR/TGARCH,1.0,-264.2867130589915
Burundi,GARCH,-1.0,177.80119734219016
Burundi,GARCH,-0.75,181.39365413836177
Burundi,GARCH,-0.5,182.93604859759162
Burundi,GARCH,-0.3,182.6726898408821
Burundi,GARCH,-0.15,181.66236770755572
Burundi,GARCH,0.0,180.02340837689093
Burundi,GARCH,0.15,177.84551088656914
Burundi,GARCH,0.3,175.24471118748036
Burundi,GARCH,0.5,171.22425888596516
Burundi,GARCH,0.75,165.4936095946
Burundi,GARCH,1.0,159.1916471699294
Burundi,EGARCH,-0.75,57.51808007745431
Burundi,EGARCH,-0.5,66.47401151289506
Burundi,EGARCH,-0.3,71.6756595610786
Burundi,EGARCH,-0.15,74.74011194474994
Burundi,EGARCH,0.0,77.2409993776179
Burundi,EGARCH,0.15,79.27950371365041
Burundi,EGARCH,0.3,80.93148326974934
Burundi,EGARCH,0.5,82.6276846896695
Burundi,EGARCH,0.75,84.05334081505534
Burundi,EGARCH,1.0,84.78394089237871
Burundi,GJR/TGARCH,-1.0,-220.7088389087944
Burundi,GJR/TGARCH,-0.75,-185.24833218187433
Burundi,GJR/TGARCH,-0.5,-165.1916949008543
Burundi,GJR/TGARCH,-0.3,-156.00175658063694
Burundi,GJR/TGARCH,-0.15,-152.03850738423358
Burundi,GJR/TGARCH,0.0,-150.44817816310308
Burundi,GJR/TGARCH,0.15,-151.40164329541085
Burundi,GJR/TGARCH,0.3,-155.22101334607456
Burundi,GJR/TGARCH,0.5,-165.3215073453409
Burundi,GJR/TGARCH,0.75,-187.45723817674013
Burundi,GJR/TGARCH,1.0,-220.16035932853552
Libya,GARCH,-1.0,-218.53888467164103
Libya,GARCH,-0.75,-208.73919054561767
Libya,GARCH,-0.5,-200.00930338254028
Libya,GARCH,-0.3,-194.01220351650915
Libya,GARCH,-0.15,-190.1862104284899
Libya,GARCH,0.0,-186.9914261524143
Libya,GARCH,0.15,-184.46459193344037
Libya,GARCH,0.3,-182.62242142297748
Libya,GARCH,0.5,-181.21969941632346
Libya,GARCH,0.75,-181.07247644816604
Libya,GARCH,1.0,-182.5536156172853
Libya,EGARCH,-1.0,-258.64245438197975
Libya,EGARCH,-0.75,-239.0897456942391
Libya,EGARCH,-0.5,-224.8046260716377
Libya,EGARCH,-0.3,-216.18048930507896
Libya,EGARCH,-0.15,-211.08886961960252
Libya,EGARCH,0.0,-206.99773639986867
Libya,EGARCH,0.15,-203.770467627539
Libya,EGARCH,0.3,-201.29869141659137
Libya,EGARCH,0.5,-199.04018801766165
Libya,EGARCH,0.75,-197.70433387199498
Libya,EGARCH,1.0,-197.87683601510184
Libya,GJR/TGARCH,-1.0,-499.4809790364712
Libya,GJR/TGARCH,-0.75,-404.560217253731
Libya,GJR/TGARCH,-0.5,-374.5965075418477
Libya,GJR/TGARCH,-0.3,-362.8740724874884
Libya,GJR/TGARCH,-0.15,-358.33054427285924
Libya,GJR/TGARCH,0.0,-356.2834770834549
Libya,GJR/TGARCH,0.15,-356.39221892508795
Libya,GJR/TGARCH,0.3,-358.74027604581823
Libya,GJR/TGARCH,0.5,-366.0814942345655
Libya,GJR/TGARCH,0.75,-384.34295578673766
Libya,GJR/TGARCH,1.0,-413.3771764491114
Nigeria,GARCH,-1.0,-238.67524604007795
Nigeria,GARCH,-0.75,-230.1806955795749
Nigeria,GARCH,-0.5,-223.22729429944087
Nigeria,GARCH,-0.3,-218.57004297072743
Nigeria,GARCH,-0.15,-215.59012717263678
Nigeria,GARCH,0.0,-213.13690391758584
Nigeria,GARCH,0.15,-211.37046908606817
Nigeria,GARCH,0.3,-210.44092292246478
Nigeria,GARCH,0.5,-210.54164973767575
Nigeria,GARCH,0.75,-212.53894153475304
Nigeria,GARCH,1.0,-211.66779602180452
Nigeria,EGARCH,-1.0,-487.47789773586254
Nigeria,EGARCH,-0.75,-438.94437634637274
Nigeria,EGARCH,-0.5,-400.0033482640426
Nigeria,EGARCH,-0.3,-375.50413461709866
Nigeria,EGARCH,-0.15,-360.9768771875635
Nigeria,EGARCH,0.0,-350.6425441044632
Nigeria,EGARCH,0.15,-345.6367813178162
Nigeria,EGARCH,0.3,-346.96841264245154
Nigeria,EGARCH,0.5,-359.3286001455944
Nigeria,EGARCH,0.75,-242.24814653592009
Nigeria,EGARCH,1.0,-202.60960154523102
Nigeria,GJR/TGARCH,-1.0,-743.8189540053779
Nigeria,GJR/TGARCH,-0.75,-356.67020585743006
Nigeria,GJR/TGARCH,-0.5,-316.8191747108292
Nigeria,GJR/TGARCH,-0.3,-312.0308505145113
Nigeria,GJR/TGARCH,-0.15,-309.0482052596376
Nigeria,GJR/TGARCH,0.0,-306.5123791663999
Nigeria,GJR/TGARCH,0.15,-304.37770936252906
Nigeria,GJR/TGARCH,0.3,-302.61852617270307
Nigeria,GJR/TGARCH,0.5,-300.8485960118814
Nigeria,GJR/TGARCH,0.75,-299.5961930410862
Nigeria,GJR/TGARCH,1.0,-299.4597055448925
Tunisia,GARCH,-1.0,-247.88186785669706
Tunisia,GARCH,-0.75,-238.262644181263
Tunisia,GARCH,-0.5,-228.87664999870805
Tunisia,GARCH,-0.3,-222.8026026321247
Tunisia,GARCH,-0.15,-220.50388653246333
Tunisia,GARCH,0.0,-219.72448324416416
Tunisia,GARCH,0.15,-221.0933781187526
Tunisia,GARCH,0.3,-223.49811569609426
Tunisia,GARCH,0.5,-227.66413923903775
Tunisia,GARCH,0.75,-234.17856189473227
Tunisia,GARCH,1.0,-241.79261938196836
Tunisia,EGARCH,-1.0,-453.3686101044695
Tunisia,EGARCH,-0.75,-329.8836488998086
Tunisia,EGARCH,-0.5,-259.15320551465067
Tunisia,EGARCH,-0.3,-231.02880030244603
Tunisia,EGARCH,-0.15,-220.47724218574527
Tunisia,EGARCH,0.0,-219.4970500723713
Tunisia,EGARCH,0.15,-225.81361945739727
Tunisia,EGARCH,0.3,-239.67227476685957
Tunisia,EGARCH,0.5,-272.1360889822225
Tunisia,EGARCH,0.75,-337.97722926543514
Tunisia,EGARCH,1.0,-431.59572076022994
Tunisia,GJR/TGARCH,-1.0,-409.8829113162253
Tunisia,GJR/TGARCH,-0.75,-339.5084326376669
Tunisia,GJR/TGARCH,-0.5,-278.6390867350032
Tunisia,GJR/TGARCH,-0.3,-242.90134354648876
Tunisia,GJR/TGARCH,-0.15,-227.80673476089868
Tunisia,GJR/TGARCH,0.0,-222.40123329413439
Tunisia,GJR/TGARCH,0.15,-231.93925386727653
Tunisia,GJR/TGARCH,0.3,-252.3270913751793
Tunisia,GJR/TGARCH,0.5,-227.63712924839245
Tunisia,GJR/TGARCH,0.75,-234.40048176988574
Tunisia,GJR/TGARCH,1.0,-242.5812832480035
Morocco,GARCH,-1.0,-238.14330262330722
Morocco,GARCH,-0.75,-229.84144280584417
Morocco,GARCH,-0.5,-222.55253875546904
Morocco,GARCH,-0.3,-217.49768834355186
Morocco,GARCH,-0.15,-214.27750002008673
Morocco,GARCH,0.0,-209.65306453549377
Morocco,GARCH,0.15,-207.253769969607
Morocco,GARCH,0.3,-208.03610033385888
Morocco,GARCH,0.5,-209.390919738239
Morocco,GARCH,0.75,-211.87046247544913
Morocco,GARCH,1.0,-215.69358800115145
Morocco,EGARCH,-0.5,-219.29262956481588
Morocco,EGARCH,-0.3,-215.63584299749962
Morocco,EGARCH,-0.15,-213.5683265903327
Morocco,EGARCH,0.0,-210.06031631406228
Morocco,EGARCH,0.15,-206.4972813393342
Morocco,EGARCH,0.3,-207.61307807985816
Morocco,EGARCH,0.5,-211.85195025331979
Morocco,EGARCH,0.75,-223.40901002269453
Morocco,EGARCH,1.0,-240.27437355013552
Morocco,GJR/TGARCH,-0.75,-436.0587384823102
Morocco,GJR/TGARCH,-0.5,-222.52574666229123
Morocco,GJR/TGARCH,-0.3,-217.7319526684744
Morocco,GJR/TGARCH,-0.15,-214.26926706462996
Morocco,GJR/TGARCH,0.0,-210.93667141038867
Morocco,GJR/TGARCH,0.15,-210.81782971785063
Morocco,GJR/TGARCH,0.3,-208.78161441926076
Morocco,GJR/TGARCH,0.5,-218.44526001867246
Morocco,GJR/TGARCH,0.75,-258.67522624882787
Morocco,GJR/TGARCH,1.0,-348.5672372531635
Liberia,GARCH,-1.0,-271.1942208975508
Liberia,GARCH,-0.75,-258.44829681291054
Liberia,GARCH,-0.5,-249.51849706504456
Liberia,GARCH,-0.3,-245.2066991012448
Liberia,GARCH,-0.15,-243.52275551068533
Liberia,GARCH,0.0,-243.02175301758263
Liberia,GARCH,0.15,-243.2212769822076
Liberia,GARCH,0.3,-244.2357173448284
Liberia,GARCH,0.5,-235.2959687013466
Liberia,GARCH,0.75,-237.77964359654587
Liberia,GARCH,1.0,-241.56539293739786
Liberia,EGARCH,-1.0,-246.42802043652264
