Horizon,FX_volatility_response,CI90_low,CI90_high,CI95_low,CI95_high,Bootstrap_replications
0,0.14470219001516868,0.0836722990955931,0.19346546832406028,0.07369938552884817,0.20620368208197204,300
1,0.09898741609959814,0.05998249503503307,0.12316507657834264,0.05410256899114875,0.13131605526512954,300
2,0.05593076837292033,0.03175992583005439,0.07250962959352397,0.028524139084598964,0.07704755556334024,300
3,0.029312651302091174,0.01528016652900864,0.04227229272059165,0.014154897576277838,0.04333006577083552,300
4,0.01481528750116981,0.007185663213771378,0.023321739350881217,0.0060006154878000095,0.024617693198342106,300
5,0.007344923334789684,0.003140004552304351,0.012933753702244047,0.0025366359652051417,0.014095647659151717,300
6,0.003602049173834793,0.0013641439969002403,0.006911007819339864,0.0010633529124632688,0.008167877837115667,300
7,0.0017553480785140354,0.0005649197070280592,0.003868040887274914,0.00043997771995560103,0.004513346111462925,300
8,0.0008521900116364213,0.0002224463929871807,0.002170597761366186,0.0001802645833238012,0.0025384088526836743,300
9,0.00041277642169769803,9.78966127869403e-05,0.0012131560086804049,7.374640692786258e-05,0.0015153959890968215,300
10,0.0001996564448219131,3.996848979656159e-05,0.0006760745443789684,3.0976874474274015e-05,0.0009010750808428269,300
11,9.648832317476058e-05,1.6169946990228934e-05,0.0003726301689233787,1.2625799948424083e-05,0.0005112755705354695,300
12,4.660492629513793e-05,6.773838440764278e-06,0.00020521504806018766,5.308184602927328e-06,0.00029006932444605325,300
