Country,Correlation,Family,N,base_loglik,x_loglik,delta,LR,LR_p,AIC,BIC,LB_sq5_p,ARCH_LM5_p,converged,profile_grid_best_delta,BH_FDR_q
Zambia,0.718,GARCH,130,-367.4364691141512,-367.3823694846794,-0.03573549078650804,0.10819925894361404,0.7422036414747908,748.7647389693587,768.8374801225478,0.9542118454873665,0.9451081903478591,True,0.0,1.0
Zambia,0.718,EGARCH,130,-375.8243719668149,-375.82437196681485,0.0,1.1368683772161603e-13,0.9999997309734423,767.6487439336297,790.5890195372743,0.9923239649001758,0.9932013924195445,True,0.0,1.0
Zambia,0.718,GJR/TGARCH,130,-377.53886292797375,-377.53886292797375,0.0,0.0,1.0,771.0777258559475,794.0180014595921,0.9660987712366127,0.9581948444917762,True,0.3,1.0
Ghana,0.668,GARCH,130,-305.4557475717656,-305.4557475717656,0.0,0.0,1.0,624.9114951435312,644.9842362967203,0.016859683675681022,0.023709167929186283,True,1.0,1.0
Ghana,0.668,EGARCH,130,-285.75212745755465,-279.0063814185116,0.7658564554732735,13.49149207808614,0.00023964755935196078,574.0127628370232,596.9530384406678,0.04447323225010168,0.07786458971434987,True,1.0,0.003594713390279412
Ghana,0.668,GJR/TGARCH,130,-339.61625677045487,-339.61625677045487,0.0,0.0,1.0,695.2325135409097,718.1727891445544,0.7751588177600114,0.7208089627534321,True,0.75,1.0
Malawi,0.649,GARCH,115,-132.03968013214052,-132.03968013214055,0.0,0.0,1.0,278.0793602642811,297.2938851628238,0.9997268283332472,0.9998290543719048,True,0.5,1.0
Malawi,0.649,EGARCH,115,-251.50269058320285,-251.50269058320285,0.0,0.0,1.0,519.0053811664056,540.9648381933117,0.998697381854171,0.9989914125222044,True,1.0,1.0
Malawi,0.649,GJR/TGARCH,115,-250.40967422934665,-250.40967422934665,0.0,0.0,1.0,516.8193484586933,538.7788054855993,0.9990640794542148,0.9992656372665154,True,-0.15,1.0
Tanzania,0.561,GARCH,122,8.68067295889313,9.30616127959656,0.12725366174436073,1.2509766414068615,0.26336602602841064,-4.612322559193121,15.015824753939679,0.9981209779610588,0.998742650219321,True,0.15,1.0
Tanzania,0.561,EGARCH,122,-101.45251999980424,-101.45251999980422,0.0,2.842170943040401e-14,0.9999998654867212,218.90503999960845,241.3372083574745,0.45777716089469433,0.013132859394862343,True,0.3,1.0
Tanzania,0.561,GJR/TGARCH,122,-17.676140603028504,-17.67614060302852,0.0,0.0,1.0,51.35228120605704,73.78444956392309,0.9774793635517061,0.8804052580727746,True,0.15,1.0
Algeria,0.549,GARCH,130,-148.85576863492398,-148.53781694465323,0.16099770272466044,0.6359033805414924,0.42519814730209915,311.07563388930646,331.14837504249556,0.9756367287593553,0.9799623924117953,True,0.15,1.0
Algeria,0.549,EGARCH,130,-154.64124625073418,-154.64124625073424,0.0,0.0,1.0,325.2824925014685,348.2227681051131,0.9680417331733457,0.9695153985595358,True,0.0,1.0
Algeria,0.549,GJR/TGARCH,130,-160.90813550646067,-160.90813550646067,0.0,0.0,1.0,337.81627101292133,360.75654661656597,0.9894527848831248,0.9901302761864448,True,0.0,1.0
Burundi,0.48,GARCH,124,180.02340844842496,180.0234084484251,0.0,2.8421709430404007e-13,0.9999995746316633,-346.0468168968502,-326.3048459376149,0.9999777019004196,0.9999783836570595,True,-0.5,1.0
Burundi,0.48,EGARCH,124,77.24100576002591,77.24100576002593,0.0,2.842170943040401e-14,0.9999998654867212,-138.48201152005186,-115.91975899521157,0.9999829256258488,0.9999849508226303,True,1.0,1.0
Burundi,0.48,GJR/TGARCH,124,-159.95266561421366,-159.95266561421366,0.0,0.0,1.0,335.9053312284273,358.4675837532676,0.9999766048205824,0.999977302708736,True,0.0,1.0
Libya,0.415,GARCH,129,-186.99142615242124,-180.92576765963935,0.6454777341586801,12.131316985563785,0.0004958209239727646,375.8515353192787,395.8702221498104,0.9999793449500287,0.9999799529347246,True,0.75,0.007437313859591469
Libya,0.415,EGARCH,129,-225.7782026380829,-225.7782026380829,0.0,0.0,1.0,467.5564052761658,490.43490451105913,0.999975300423732,0.9999759625496075,True,0.75,1.0
Libya,0.415,GJR/TGARCH,129,-364.771316748312,-364.77131674831196,0.0,1.1368683772161603e-13,0.9999997309734423,745.5426334966239,768.4211327315173,0.9999783274211749,0.9999789169717954,True,0.0,1.0
Nigeria,0.322,GARCH,130,-213.13690391758584,-213.13690391758584,0.0,0.0,1.0,440.2738078351717,460.3465489883608,0.9970916249903985,0.9967101999846049,True,0.3,1.0
Nigeria,0.322,EGARCH,130,-357.5822999387062,-357.5822999387062,0.0,0.0,1.0,731.1645998774125,754.1048754810571,0.9976276878352301,0.9982750464115704,True,1.0,1.0
