Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,519102.805905899,544472.825418012,562537.088659901,583471.998103511,601470.923945205,558300.141593951,648895.63048026,720069.49425865,777327.510342377,826100.139603509,874598.59368853
Angola,239997.854514808,238159.638401148,242085.419876593,259089.392414722,277552.374118637,261836.326822732,306036.098280018,341635.924632511,358752.239035387,383923.479104176,401480.379405256
Benin,31146.0548546412,32492.0725297181,34934.5480580946,36917.6413537037,40924.9734829569,42407.3099346437,46467.9479848674,52885.364730928,58326.1642479593,64228.8790398071,70423.0569370874
Botswana,31031.1273401357,33582.0337145649,35589.4353956502,36293.8251486441,37153.4821796946,36106.7543900981,43131.382324765,48733.5534103371,52157.9632641863,51854.6392362047,52650.1611709575
Burkina-Faso,35119.135830404,37565.1184527424,40609.9503637885,42425.5366255925,46961.1313184932,51384.9001459964,54689.6525405665,59532.3376733083,63587.2749253482,68292.4033199523,72743.2703060846
Burundi,8533.41442737478,8562.81229643777,8759.74416076216,8935.56500618915,9539.00024288358,9933.33255405548,10863.4887509582,11848.7143113752,12613.8618777917,13385.7237106462,14314.3268729649
Cameroon,81774.7353542788,86249.2703541835,90902.8328512767,99492.5380013062,108174.199180862,114508.38155224,129022.180169524,143363.134044552,153496.468850978,162748.087980604,173033.867638599
Cape Verde,3633.00252668264,3824.5204241467,4070.19665781325,4064.40936640185,4441.6482401619,3535.5430247986,3970.66415146117,4926.91751478897,5354.18977859287,5884.58989448698,6340.29096192348
Central African Republic,3995.37659735562,4224.90599497658,4495.28102260006,4738.94456649987,5358.28937918729,5703.97118152278,6123.41835709405,6612.35057026814,6850.7859450295,7155.72567221489,7549.47811032189
Chad,33578.5891874143,32660.1701944995,32550.7009157599,35607.3364748112,39007.3449665599,37294.2607537561,43654.1565756841,48941.9331288503,53279.2526327644,56513.7169248747,59822.4682836699
Comoros,2298.02695476017,2396.89317123483,2532.91658507952,2527.73606744752,2590.2444308214,2602.92700099289,2763.69969104441,3037.32090315331,3244.04740203304,3435.58376378212,3652.04149778861
Congo DRC,84883.2052608034,86027.2599665046,90771.4466653989,97234.1814690963,106649.395443515,116220.972346971,135866.561665901,158947.217740265,178810.802899843,195091.138079128,210388.000016186
Congo,25805.1738340098,24749.5546884976,23783.3121915436,30668.1410857821,32125.0519559429,27446.363219338,33305.9628607529,36316.4434200216,38404.6875925835,40189.3939662476,42259.3518497278
Ivory Coast,105996.696700346,114678.217268396,125384.273717749,135827.50624413,155523.894631545,160302.939789704,179178.274483429,204204.971096621,225420.153154184,244877.288027457,266886.212097048
Djibouti,4249.59137759612,4595.56525006882,4933.18899819197,5448.49493891934,5876.85158273842,6108.37612363172,6682.75925786741,7527.88883187669,8381.91833092796,9149.4487803828,9935.02543072423
Egypt,1032670.75819395,1087724.35828655,1153591.16605726,1302980.39502457,1437311.65415739,1665073.25689418,1728601.01250364,1974699.00321642,2124765.17820435,2229747.63090972,2381506.51658959
Equatorial Guinea,32586.27251789,29995.673766259,28802.4122480501,30231.9864256322,27476.6900183343,23476.322531848,29585.3279818254,32711.0745719802,32195.0307189231,33285.2499262137,33540.659806966
Eritrea,5359.88719793671,5810.73478124751,5322.44792903813,6094.79271504583,6369.01268647128,6469.0,6955.0,7637.0,8155.0,8574.0,8993.0
Eswatini,9112.62323981699,9629.32200436695,9944.59220049547,9979.09952206253,10911.8246925993,11089.5539235206,12000.7880349468,12998.3314504315,13943.5555178214,14688.8421363213,15699.080740367
Ethiopia,179752.049344501,195976.903345549,219853.609748219,236067.178097437,259534.702253691,286176.053791452,316145.121455807,360173.800487147,400285.220808535,443250.968706486,486830.158965285
Gabon,30279.4103915272,31206.4263977358,31915.4377024592,34049.4857515411,36169.0883707584,33623.70095886,44025.399637067,48589.1212773735,51619.3457101105,54675.0705845906,57054.1194603826
