Newspaper,Country,LANGUAGE,Website
Expanso,Angola,Portuguese,https://www.expansao.co.ao/
24 Heures au Bnin,Benin,French,https://24haubenin.info
Bnin 24,Benin,French,https://benin24.com
Botswana Chronicle,Botswana,English,https://www.botswanachronicle.com
Botswana Gazette,Botswana,English,https://www.thegazette.news
Botswana Life Magazine,Botswana,English,https://www.botswanalife.co.bw/news
Botswana News Today,Botswana,English,https://www.botswananewstoday.com
Botswana Post,Botswana,English,https://www.botswanapost.com
Botswana Real Estate News,Botswana,English,https://www.botswanarealestate.com
Botswana Stock Exchange News,Botswana,English,https://www.bse.co.bw/news
Botswana Unplugged,Botswana,English,https://www.botswanaunplugged.com
Botswana Youth Magazine,Botswana,English,https://www.botswanayouth.com
Business Weekly & Review,Botswana,English,https://businessweekly.co.bw
Sunday Standard,Botswana,English,https://www.sundaystandard.info
The Patriot on Sunday,Botswana,English,https://www.thepatriot.co.bw
WeekendPost,Botswana,English,https://www.weekendpost.co.bw
Yarona FM News,Botswana,English,https://www.yaronafm.co.bw
AIB  Agence dInformation du Burkina,Burkina-Faso,French (AIB - Agence d'Information du Burkina),https://www.aib.media
ActuBurkina,Burkina-Faso,French (ActuBurkina),https://www.actuburkina.net
Aujourdhui au Faso,Burkina-Faso,French (Aujourd'hui au Faso),https://www.aujourd8.net
Burkina24,Burkina-Faso,French,https://burkina24.com/
BurkinaNews,Burkina-Faso,French,https://www.burkinanews.info
Faso7,Burkina-Faso,French (faso7.com),https://www.faso7.com
Faso7 Culture,Burkina-Faso,French,https://www.faso7.com/tag/culture
Faso7 Sports,Burkina-Faso,French,https://www.faso7.com/tag/sport
FasoPress,Burkina-Faso,French,https://www.fasopresse.net
Fasozine,Burkina-Faso,French,https://fasozine.com/
Journal du Jeudi,Burkina-Faso,French,https://www.journaldujeudi.com
Koaci Burkina Faso,Burkina-Faso,French,https://www.koaci.com/c/burkina
L'conomiste du Faso,Burkina-Faso,French,https://www.leconomistedufaso.bf/
LExpress du Faso,Burkina-Faso,French,https://www.lexpressdufaso-bf.com
Labor Presse,Burkina-Faso,French,https://www.laborpresse.net
Le Pays (numrique),Burkina-Faso,French (LE PAYS DIGITAL),https://www.lepaysdigital.com
Les Echos du Faso,Burkina-Faso,French,https://www.lesechosdufaso.net
Minute.bf,Burkina-Faso,French (minute.bf),https://www.minute.bf
NetAfrique,Burkina-Faso,French (NetAfrique.net),https://www.netafrique.net
Omega Mdias,Burkina-Faso,French,https://omegamedias.info/
Ouaga24,Burkina-Faso,French (Ouaga24),https://www.ouaga24.com
Sidwaya,Burkina-Faso,French (Quotidien Sidwaya),https://www.sidwaya.info
Wakat Sra,Burkina-Faso,French (Wakat Sra),https://www.wakatsera.com
A Semana,Cape Verde,Portuguese,https://www.asemana.cv/
Expresso das Ilhas,Cape Verde,Portuguese,https://expressodasilhas.cv/
Jornal Horizonte,Cape Verde,Portuguese,https://jornalhorizonte.com/
Mais Educativa Cabo Verde,Cape Verde,Portuguese,https://maiseducativa.com/cv/
Santiago Magazine,Cape Verde,Portuguese,https://santiagomagazine.cv/
237 Actu,Cameroon,French,https://www.237actu.com/
237 News,Cameroon,French,https://237news.com/
237online,Cameroon,French,https://www.237online.com/
Actu Cameroun,Cameroon,French,https://actucameroun.com/
Cameroon Business Today,Cameroon,English,https://cameroonbusinesstoday.cm/
Cameroon Concord News,Cameroon,English,https://www.cameroonconcordnews.com/
Cameroon Intelligence Report,Cameroon,English,https://www.cameroonintelligencereport.com/
Cameroon News Today,Cameroon,English,https://cameroonnewstoday.com/
Cameroon Online,Cameroon,English,https://www.cameroononline.org/
Cameroon Radio Television (CRTV),Cameroon,English/French,https://www.crtv.cm/
Cameroon Tribune,Cameroon,French/English,https://www.cameroon-tribune.cm/
Cameroun Actuel,Cameroon,French,https://camerounactuel.com/
Ecomatin,Cameroon,French,https://ecomatin.net/
InfoCameroun,Cameroon,French,https://www.infoscameroon.com/
Investir au Cameroun,Cameroon,French,https://www.investiraucameroun.com/
Journal Intgration,Cameroon,French,https://journalintegration.com/
Journal du Cameroun,Cameroon,French,https://www.journalducameroun.com/
La Nouvelle Expression,Cameroon,French,https://lanouvelleexpression.info/
Le Financier dAfrique,Cameroon,French,https://www.lefinancierdafrique.com/
Le Quatrime Pouvoir,Cameroon,French,https://lequatriemepouvoir.com/
Mimimefo Info,Cameroon,English,https://mimimefoinfos.com/
News du Cameroun,Cameroon,French,https://www.newsducamer.com/
Afrique Centrale Infos,Central African Republic,French,https://afriquecentrale.info/
Corbeau News Centrafrique,Central African Republic,French,https://corbeaunews-centrafrique.org/
Journal de Bangui,Central African Republic,French,https://www.journaldebangui.com/
Le Confident,Central African Republic,French,https://leconfident.net/
Radio Ndeke Luka (News Section),Central African Republic,French,https://www.radiondekeluka.org/
Journal du Tchad,Chad,French,https://www.journaldutchad.com/
Le Pays,Chad,French,https://www.lepaystchad.com/
Tchadinfos,Chad,French,https://tchadinfos.com/
Habari za Komori,Comoros,French,https://www.habarizacomores.com/
The Elephant,Comoros,English,https://www.theelephant.info/
ADIAC Congo,Congo,French,https://www.adiac-congo.com/
Brazzanews,Congo,French,https://www.brazzanews.fr/
Congo Infos,Congo,French,https://www.congoinfos.com/
Journal de Brazza,Congo,French,https://www.journaldebrazza.com/
La Prosprite,Congo,,https://laprosperiteonline.net
