Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Algeria,algeria,2019-12-01,2020-01-01,-6.552440957806901,2.3629800072785265,2.117529546896038,1,zgre,-8.915420965085428,-8.669970504702938,4.376588360767826
Angola,angola,2019-12-01,2020-01-01,-3.8691583884981458,-2.418182937641987,-2.472811020112012,1,zgre,-1.4509754508561588,-1.3963473683861336,0.15852801318270449
Benin,benin,2019-12-01,2020-01-01,6.242335879821916,3.1499198030619198,3.373633801929631,1,zgre,3.0924160767599966,2.8687020778922854,1.3836335333895562
Botswana,botswana,2019-12-01,2020-01-01,-3.9702065138065983,5.761543035092377,5.60976618624008,1,zgre,-9.731749548898975,-9.579972700046678,2.954108560703304
Burkina-Faso,burkinafaso,2019-12-01,2020-01-01,10.750117027780435,5.111958651341936,5.430427647968817,1,zgre,5.638158376438499,5.319689379811618,3.5911572819356223
Burundi,burundi,2019-12-01,2020-01-01,4.820471933029236,0.39397466264924574,0.207190400512111,1,zgre,4.42649727037999,4.613281532517124,-1.6536000529999377
Cameroon,cameroon,2019-12-01,2020-01-01,5.585845193471373,1.3237775174626307,1.5041075363982996,1,zgre,4.262067676008742,4.081737657073074,1.5371574894395117
Cape Verde,capeverde,2019-12-01,2020-01-01,-11.538386751001289,5.431669652258742,5.220051474571093,1,zgre,-16.97005640326003,-16.758438225572384,7.182344822628977
Central African Republic,centralafricanrepublic,2019-12-01,2020-01-01,9.409019024229009,3.44239918531774,3.5103178656271083,1,zgre,5.966619838911269,5.8987011586019005,0.810489890733102
Chad,chad,2019-12-01,2020-01-01,-2.1863090789861888,-5.221548044968969,-5.278095966718353,1,zgre,3.0352389659827805,3.091786887732164,-0.3432729110781487
Comoros,comoros,2019-12-01,2020-01-01,1.1178361564063457,4.66872013144325,5.164662391852117,1,zgre,-3.550883975036904,-4.046826235445771,-3.522066850058849
Congo,congo,2019-12-01,2020-01-01,-14.904940577518666,-14.693659630010785,-14.746926381006126,1,zgre,-0.2112809475078805,-0.15801419651253923,0.022508499241924086
Congo DRC,congodrc,2019-12-01,2020-01-01,7.932104014457239,0.2939283454250088,0.14914128764513568,1,zgre,7.63817566903223,7.782962726812103,-2.211817963849981
Djibouti,djibouti,2019-12-01,2020-01-01,4.416783323326959,3.0255149745028405,3.0431293022998,1,zgre,1.3912683488241182,1.3736540210271588,0.0490125134994448
Egypt,egypt,2019-12-01,2020-01-01,14.764772714664806,0.2191138205282499,-0.031875445638012034,1,zgre,14.545658894136556,14.796648160302817,-7.301608503488154
Equatorial Guinea,equatorialguinea,2019-12-01,2020-01-01,-20.979014897998905,-7.925663913807817,-7.975170028708767,1,zgre,-13.053350984191088,-13.003844869290138,1.2924413873315643
Eritrea,eritrea,2019-12-01,2020-01-01,0.3635420993763184,-5.5760838456929065,-5.3966899740329195,1,zgre,5.939625945069225,5.760232073409238,2.131064988996151
Eswatini,eswatini,2019-12-01,2020-01-01,4.65686174364423,4.057433855444545,4.123945107541838,1,zgre,0.5994278881996848,0.5329166361023923,0.07973739877239394
Ethiopia,ethiopia,2019-12-01,2020-01-01,10.160562969598892,6.639080167743451,5.420558549768433,1,zgre,3.5214828018554414,4.740004419830459,-8.582005842776185
Gabon,gabon,2019-12-01,2020-01-01,-7.95442521525276,-0.13171126811267442,-0.05485241918585484,1,zgre,-7.822713947140086,-7.899572796066905,-1.20248957892192
Gambia,gambia,2019-12-01,2020-01-01,6.109221375998082,-1.2071027909253047,-1.2482248162521037,1,zgre,7.316324166923387,7.357446192250186,-0.6017241353825895
Ghana,ghana,2019-12-01,2020-01-01,4.727380407165831,2.844731851029195,2.9783116032554906,1,zgre,1.882648556136636,1.7490688039103404,0.5029674553158499
Guinea,guinea,2019-12-01,2020-01-01,9.75143067888598,7.491313083990988,7.487221180811201,1,zgre,2.260117594894991,2.264209498074779,-0.018496364746489746
Guinea-Bissau,guineabissau,2019-12-01,2020-01-01,1.9175803540178245,5.468774040922959,5.511335954087352,1,zgre,-3.5511936869051346,-3.5937556000695277,-0.30229119466399546
Ivory Coast,ivorycoast,2019-12-01,2020-01-01,6.780494252445929,4.700526507923399,5.080209125914036,1,zgre,2.0799677445225297,1.7002851265318935,1.5794551971527855
Kenya,kenya,2019-12-01,2020-01-01,4.3722576789731935,1.961337202492409,1.8225838152192986,1,zgre,2.4109204764807846,2.549673863753895,-0.6690467651156204
