DGP,Horizon,Design,Replications,Mean_Relative_RMSFE,Median_Relative_RMSFE,P10_Relative_RMSFE,P90_Relative_RMSFE,Share_RMSFE_Improvement
Current-state signal,1,Retrospective final-vintage,1000,1.000243368328483,1.0000670674973948,0.999625260247259,1.0010562083421386,0.39
Current-state signal,1,Publication-lagged,1000,0.996888755512894,0.9970514170030278,0.9946560650205108,0.9989156312650096,0.977
Current-state signal,3,Retrospective final-vintage,1000,1.0002329184408911,1.0000656526458171,0.9996587205938886,1.001018318250632,0.366
Current-state signal,3,Publication-lagged,1000,0.997269110852593,0.99739172236555,0.9950447254340596,0.999188329823747,0.965
Current-state signal,6,Retrospective final-vintage,1000,1.0001728771618172,1.0000499027632934,0.9996195263974732,1.0008793109808487,0.392
Current-state signal,6,Publication-lagged,1000,0.9986743505811242,0.9987123977733544,0.9969045499660928,1.0003221486846818,0.846
Current-state signal,12,Retrospective final-vintage,1000,1.000058615061544,1.0000101415720644,0.9994457438707284,1.000704253723934,0.475
Current-state signal,12,Publication-lagged,1000,1.002468116761088,1.000360961355739,0.9731718751245878,1.0317602916970674,0.476
Pure-noise placebo,1,Retrospective final-vintage,1000,1.0002244448246858,1.0000890212709594,0.9997833488487776,1.0008548786528235,0.345
Pure-noise placebo,1,Publication-lagged,1000,1.0000866934248944,1.000019260905475,0.9997090346332176,1.000536920311853,0.42
Pure-noise placebo,3,Retrospective final-vintage,1000,1.0001822065516413,1.0000599740053642,0.9997002162791514,1.000834009833894,0.401
Pure-noise placebo,3,Publication-lagged,1000,1.0001023664672306,1.0000320102775997,0.9997306671072532,1.0005493555372853,0.4
Pure-noise placebo,6,Retrospective final-vintage,1000,1.000148522769468,1.0000249665894454,0.9996871069537446,1.0008326432258163,0.426
Pure-noise placebo,6,Publication-lagged,1000,1.000109884205933,1.0000273890738889,0.999746724056239,1.0005564945649352,0.414
Pure-noise placebo,12,Retrospective final-vintage,1000,1.0000984417168912,1.0000206683764763,0.9996566174878224,1.0006474694241616,0.431
Pure-noise placebo,12,Publication-lagged,1000,1.0014855136403862,1.0003108658749853,0.980890035947454,1.0230905176393437,0.465
Persistent-state stress,1,Retrospective final-vintage,1000,1.0041969344197217,1.003343253915412,0.999799353045416,1.0096042161828214,0.123
Persistent-state stress,1,Publication-lagged,1000,0.8715143437995684,0.8723152837396824,0.8447534766654502,0.8976028185494813,1.0
Persistent-state stress,3,Retrospective final-vintage,1000,1.002407122696887,1.0018254954592516,0.9999980935113532,1.0058436273713427,0.101
Persistent-state stress,3,Publication-lagged,1000,0.8793334015740959,0.8801993110462365,0.85477704336138,0.9029097387330718,1.0
Persistent-state stress,6,Retrospective final-vintage,1000,0.999019565592204,0.9991802109696756,0.9967115899089456,1.0012308425745096,0.732
Persistent-state stress,6,Publication-lagged,1000,0.9148913562875292,0.9156253302197336,0.8934092318921988,0.9358539003233056,1.0
Persistent-state stress,12,Retrospective final-vintage,1000,0.9961796179304808,0.9964208275583076,0.9919968081341896,0.999939625942135,0.902
Persistent-state stress,12,Publication-lagged,1000,1.0122318734466649,1.0069023131134696,0.9814787381527552,1.051367898343662,0.351
